"","method","bias","mse","ATE","ci_cov","power","u","a","n","b","rho","psi","ax","bax","baz"
"1.1","IV",4.53006042848546,20.5214474857299,0.104530060428485,96.4,74.4,0.1,0.1,3000,0,0.1,0.5,0.25,0,0
"1.2","Ideal",4.9650341239835,24.6515638523206,0.104965034123984,96,73.2,0.1,0.1,3000,0,0.1,0.5,0.25,0,0
"1.3","MIME",12.0684433478397,145.647324840016,0.11206844334784,82.4,49.2,0.1,0.1,3000,0,0.1,0.5,0.25,0,0
"1.4","Naive",7.18148724411566,51.573759037396,0.107181487244116,95.2,73.6,0.1,0.1,3000,0,0.1,0.5,0.25,0,0
"1.5","PSC",6.16891878762608,38.055559008326,0.106168918787626,27.6,96,0.1,0.1,3000,0,0.1,0.5,0.25,0,0
"1.6","SIMEX dir.",-17.3689347736535,301.679895171431,0.0826310652263465,98.8,32,0.1,0.1,3000,0,0.1,0.5,0.25,0,0
"2.1","IV",3.16521365663521,10.01857749215,0.103165213656635,95.6,76.8,0.25,0.1,3000,0,0.1,0.5,0.25,0,0
"2.2","Ideal",3.21048489730102,10.3072132757979,0.103210484897301,96.4,76.4,0.25,0.1,3000,0,0.1,0.5,0.25,0,0
"2.3","MIME",1.91617809864344,3.67173850572078,0.101916178098643,94.8,48,0.25,0.1,3000,0,0.1,0.5,0.25,0,0
"2.4","Naive",18.1099505036855,327.970307245938,0.118109950503685,94.4,85.2,0.25,0.1,3000,0,0.1,0.5,0.25,0,0
"2.5","PSC",9.92143843852574,98.434940689456,0.109921438438526,33.6,93.6,0.25,0.1,3000,0,0.1,0.5,0.25,0,0
"2.6","SIMEX dir.",-37.7552854163053,1425.46157686667,0.0622447145836948,96.8,10.8,0.25,0.1,3000,0,0.1,0.5,0.25,0,0
"3.1","IV",-6.28203998371293,39.464026356968,0.0937179600162871,95.2,58.4,0.5,0.1,3000,0,0.1,0.5,0.25,0,0
"3.2","Ideal",-6.05746933937181,36.6929347974296,0.0939425306606282,93.6,65.2,0.5,0.1,3000,0,0.1,0.5,0.25,0,0
"3.3","MIME",-13.1064060411405,171.777879315245,0.0868935939588595,90.8,36.4,0.5,0.1,3000,0,0.1,0.5,0.25,0,0
"3.4","Naive",44.9945726830183,2024.51157092742,0.144994572683018,78,92.8,0.5,0.1,3000,0,0.1,0.5,0.25,0,0
"3.5","PSC",14.7670408974402,218.065496866672,0.11476704089744,33.2,89.2,0.5,0.1,3000,0,0.1,0.5,0.25,0,0
"3.6","SIMEX dir.",-31.8056452305867,1011.59906853395,0.0681943547694133,92.4,18,0.5,0.1,3000,0,0.1,0.5,0.25,0,0
"4.1","IV",0.224220000331327,0.0502746085485803,0.100224220000331,94.8,56.8,0.75,0.1,3000,0,0.1,0.5,0.25,0,0
"4.2","Ideal",-0.132557520783833,0.0175714963163564,0.0998674424792162,95.6,74.8,0.75,0.1,3000,0,0.1,0.5,0.25,0,0
"4.3","MIME",-6.08123782956128,36.9814535396872,0.0939187621704387,90.4,40,0.75,0.1,3000,0,0.1,0.5,0.25,0,0
"4.4","Naive",88.2864787422123,7794.50232869911,0.188286478742212,48.4,98.8,0.75,0.1,3000,0,0.1,0.5,0.25,0,0
"4.5","PSC",41.7193427632107,1740.50356059426,0.141719342763211,32.4,90,0.75,0.1,3000,0,0.1,0.5,0.25,0,0
"4.6","SIMEX dir.",22.8527151253775,522.246588601657,0.122852715125378,96.4,66,0.75,0.1,3000,0,0.1,0.5,0.25,0,0
"5.1","IV",-8.22112304508842,67.5868641224839,0.0917788769549116,94.4,40.8,0.9,0.1,3000,0,0.1,0.5,0.25,0,0
"5.2","Ideal",-2.01190495300105,4.04776153991016,0.097988095046999,94.4,70.8,0.9,0.1,3000,0,0.1,0.5,0.25,0,0
"5.3","MIME",-4.62613164588763,21.401094005083,0.0953738683541124,80.4,38.8,0.9,0.1,3000,0,0.1,0.5,0.25,0,0
"5.4","Naive",105.926141197024,11220.3473888918,0.205926141197024,38.4,99.2,0.9,0.1,3000,0,0.1,0.5,0.25,0,0
"5.5","PSC",48.9591934451241,2397.00262279709,0.148959193445124,29.2,87.6,0.9,0.1,3000,0,0.1,0.5,0.25,0,0
"5.6","SIMEX dir.",43.9588548643068,1932.38092098119,0.143958854864307,90.4,78.8,0.9,0.1,3000,0,0.1,0.5,0.25,0,0
"6.1","IV",0.506255032201005,0.256294157628841,0.100506255032201,95.6,74,0.1,0.1,3000,0,0.8,0.5,0.25,0,0
"6.2","Ideal",1.06735599691505,1.13924882415052,0.101067355996915,97.2,68,0.1,0.1,3000,0,0.8,0.5,0.25,0,0
"6.3","MIME",0.584256878796768,0.341356100421341,0.100584256878797,94.8,48,0.1,0.1,3000,0,0.8,0.5,0.25,0,0
"6.4","Naive",3.38044228928725,11.4273900712016,0.103380442289287,97.6,70.4,0.1,0.1,3000,0,0.8,0.5,0.25,0,0
"6.5","PSC",-0.134955290124025,0.0182129303324599,0.099865044709876,35.2,93.6,0.1,0.1,3000,0,0.8,0.5,0.25,0,0
"6.6","SIMEX dir.",-20.7332739819802,429.868650011859,0.0792667260180198,98.8,26.8,0.1,0.1,3000,0,0.8,0.5,0.25,0,0
"7.1","IV",-0.617521264390477,0.381332511974413,0.0993824787356095,96,72,0.25,0.1,3000,0,0.8,0.5,0.25,0,0
"7.2","Ideal",-1.94986223451866,3.8019627336021,0.0980501377654813,96,67.6,0.25,0.1,3000,0,0.8,0.5,0.25,0,0
"7.3","MIME",-2.46097880513214,6.0564166793096,0.0975390211948679,98,39.2,0.25,0.1,3000,0,0.8,0.5,0.25,0,0
"7.4","Naive",13.0054301667169,169.141213821351,0.113005430166717,94.4,77.2,0.25,0.1,3000,0,0.8,0.5,0.25,0,0
"7.5","PSC",-5.39008848164417,29.0530538399531,0.0946099115183558,34.4,79.6,0.25,0.1,3000,0,0.8,0.5,0.25,0,0
"7.6","SIMEX dir.",-26.1436329873089,683.489545775106,0.0738563670126911,98.4,20,0.25,0.1,3000,0,0.8,0.5,0.25,0,0
"8.1","IV",-3.31176963045629,10.9678180852126,0.0966882303695437,93.2,59.6,0.5,0.1,3000,0,0.8,0.5,0.25,0,0
"8.2","Ideal",-6.11024466141914,37.3350898224011,0.0938897553385809,92.8,62.4,0.5,0.1,3000,0,0.8,0.5,0.25,0,0
"8.3","MIME",-2.0012354257642,4.0049432293336,0.0979987645742358,96.8,43.2,0.5,0.1,3000,0,0.8,0.5,0.25,0,0
"8.4","Naive",30.8792089992844,953.525548421486,0.130879208999284,88.4,80.4,0.5,0.1,3000,0,0.8,0.5,0.25,0,0
"8.5","PSC",-10.6280436916944,112.955312712565,0.0893719563083056,34.4,75.6,0.5,0.1,3000,0,0.8,0.5,0.25,0,0
"8.6","SIMEX dir.",0.0615882495374447,0.00379311248108655,0.100061588249537,98.8,44.8,0.5,0.1,3000,0,0.8,0.5,0.25,0,0
"9.1","IV",-0.48001576107832,0.230415130883599,0.0995199842389217,96.4,52.8,0.75,0.1,3000,0,0.8,0.5,0.25,0,0
"9.2","Ideal",-1.656295462636,2.74331465954861,0.098343704537364,96.8,63.6,0.75,0.1,3000,0,0.8,0.5,0.25,0,0
