"","method","bias","rmse","estimate","ci_cov","power","n","sig_u","rho","aw","ba","mis"
"1.1","CV",0.150418614571615,0.150418614571615,1.00150418614572,93.7093275488069,100,1000,0.1,0.15,0.75,1,"base"
"1.2","IV",0.291231592534815,0.291231592534815,1.00291231592535,95.2,100,1000,0.1,0.15,0.75,1,"base"
"1.3","Ideal",-0.0240474098850481,0.0240474098850481,0.999759525901149,93.4,100,1000,0.1,0.15,0.75,1,"base"
"1.4","MIME",0.962331637160073,0.962331637160073,1.0096233163716,94.8,100,1000,0.1,0.15,0.75,1,"base"
"1.5","Naive",-0.508116138306387,0.508116138306387,0.994918838616936,92.6,100,1000,0.1,0.15,0.75,1,"base"
"1.6","RC",0.024007288838806,0.024007288838806,1.00024007288839,94.2,100,1000,0.1,0.15,0.75,1,"base"
"1.7","SIMEX",-0.00962615769497657,0.00962615769497657,0.99990373842305,93.4,100,1000,0.1,0.15,0.75,1,"base"
"2.1","CV",0.0865621137921096,0.0865621137921096,1.00086562113792,89.8520084566596,100,1000,0.25,0.15,0.75,1,"base"
"2.2","IV",-0.747048657088393,0.747048657088393,0.992529513429116,94.6,100,1000,0.25,0.15,0.75,1,"base"
"2.3","Ideal",0.0555945688391823,0.0555945688391823,1.00055594568839,93.2,100,1000,0.25,0.15,0.75,1,"base"
"2.4","MIME",0.281112822832673,0.281112822832673,1.00281112822833,95.2,100,1000,0.25,0.15,0.75,1,"base"
"2.5","Naive",-2.9221236044371,2.9221236044371,0.970778763955629,82.4,100,1000,0.25,0.15,0.75,1,"base"
"2.6","RC",0.121717348386788,0.121717348386788,1.00121717348387,94.2,100,1000,0.25,0.15,0.75,1,"base"
"2.7","SIMEX",-0.388089620527119,0.388089620527119,0.996119103794729,91,100,1000,0.25,0.15,0.75,1,"base"
"3.1","CV",0.38403523633796,0.38403523633796,1.00384035236338,87.8600823045268,100,1000,0.5,0.15,0.75,1,"base"
"3.2","IV",0.192447121129944,0.192447121129944,1.0019244712113,95.4,100,1000,0.5,0.15,0.75,1,"base"
"3.3","Ideal",0.130717204827983,0.130717204827983,1.00130717204828,92.4,100,1000,0.5,0.15,0.75,1,"base"
"3.4","MIME",0.737960647391815,0.737960647391815,1.00737960647392,94.8,100,1000,0.5,0.15,0.75,1,"base"
"3.5","Naive",-9.54210211518747,9.54210211518747,0.904578978848125,24.4,100,1000,0.5,0.15,0.75,1,"base"
"3.6","RC",0.0492422133197918,0.0492422133197918,1.0004924221332,95.6,100,1000,0.5,0.15,0.75,1,"base"
"3.7","SIMEX",-3.80803323152899,3.80803323152899,0.96191966768471,78.6,100,1000,0.5,0.15,0.75,1,"base"
"4.1","CV",0.486434614431432,0.486434614431432,1.00486434614431,90.7444668008048,100,1000,0.75,0.15,0.75,1,"base"
"4.2","IV",0.00665286822527198,0.00665286822527198,1.00006652868225,95.8,100,1000,0.75,0.15,0.75,1,"base"
"4.3","Ideal",-0.111564327628673,0.111564327628673,0.998884356723713,93,100,1000,0.75,0.15,0.75,1,"base"
"4.4","MIME",0.883283762873914,0.883283762873914,1.00883283762874,95.2,100,1000,0.75,0.15,0.75,1,"base"
"4.5","Naive",-16.2905614744062,16.2905614744062,0.837094385255938,1.2,100,1000,0.75,0.15,0.75,1,"base"
"4.6","RC",-0.0997501859481258,0.0997501859481258,0.999002498140519,98.6,100,1000,0.75,0.15,0.75,1,"base"
"4.7","SIMEX",-9.90771618744315,9.90771618744315,0.900922838125568,25.4,100,1000,0.75,0.15,0.75,1,"base"
"5.1","CV",0.29644553930105,0.29644553930105,1.00296445539301,87.8542510121457,100,1000,0.9,0.15,0.75,1,"base"
"5.2","IV",0.612408354528671,0.612408354528671,1.00612408354529,96.4,100,1000,0.9,0.15,0.75,1,"base"
"5.3","Ideal",-0.0197361395704606,0.0197361395704606,0.999802638604295,91.8,100,1000,0.9,0.15,0.75,1,"base"
"5.4","MIME",0.998596162512223,0.998596162512223,1.00998596162512,94.4,100,1000,0.9,0.15,0.75,1,"base"
"5.5","Naive",-19.2751664615775,19.2751664615775,0.807248335384225,0.4,100,1000,0.9,0.15,0.75,1,"base"
"5.6","RC",0.17504699189319,0.17504699189319,1.00175046991893,98.2,100,1000,0.9,0.15,0.75,1,"base"
"5.7","SIMEX",-13.3015811995645,13.3015811995645,0.866984188004355,8.8,100,1000,0.9,0.15,0.75,1,"base"
"6.1","CV",-0.349961192267652,0.349961192267652,0.996500388077323,89.957264957265,100,1000,0.1,0.15,0.75,1,"ps-mis"
"6.2","IV",0.0837414888433962,0.0837414888433962,1.00083741488843,90.4,100,1000,0.1,0.15,0.75,1,"ps-mis"
"6.3","Ideal",-0.24007790754427,0.24007790754427,0.997599220924557,90.2,100,1000,0.1,0.15,0.75,1,"ps-mis"
"6.4","MIME",-0.52357125919541,0.52357125919541,0.994764287408046,95.2,100,1000,0.1,0.15,0.75,1,"ps-mis"
"6.5","Naive",-0.181578176276391,0.181578176276391,0.998184218237236,90.4,100,1000,0.1,0.15,0.75,1,"ps-mis"
"6.6","RC",-0.216651452954226,0.216651452954226,0.997833485470458,92.8,100,1000,0.1,0.15,0.75,1,"ps-mis"
"6.7","SIMEX",-0.211143113905818,0.211143113905818,0.997888568860942,90.6,100,1000,0.1,0.15,0.75,1,"ps-mis"
"7.1","CV",0.198360516961473,0.198360516961473,1.00198360516961,89.0295358649789,100,1000,0.25,0.15,0.75,1,"ps-mis"
