"","method","bias","mse","ATE","ci_cov","power","u","a","n","bax1","bax2"
"1.1","CSME",-0.0427334744879004,0.00182614984180803,1.37441241472579,92,100,0.1,1,1000,-0.25,0.5
"1.2","Ideal",-0.102272742497531,0.0104597138579663,1.37359374979066,92,100,0.1,1,1000,-0.25,0.5
"1.3","Naive",-0.947931116419423,0.898573401476174,1.36196594714923,90,100,0.1,1,1000,-0.25,0.5
"1.4","Reg. cal.",-0.0986624745974527,0.009734283893693,1.37364339097429,90.8,100,0.1,1,1000,-0.25,0.5
"2.1","CSME",0.692467352691503,0.479511034543578,1.38452142609951,84.8,100,0.5,1,1000,-0.25,0.5
"2.2","Ideal",0.00732020541737951,5.35854073526323e-05,1.37510065282449,94.4,100,0.5,1,1000,-0.25,0.5
"2.3","Naive",-16.725181823237,279.731707020336,1.14502874993049,1.6,100,0.5,1,1000,-0.25,0.5
"2.4","Reg. cal.",0.723732004079574,0.523788013729036,1.38495131505609,78,100,0.5,1,1000,-0.25,0.5
"3.1","CSME",1.70864286528358,2.91946044108448,1.39849383939765,84.4,100,0.9,1,1000,-0.25,0.5
"3.2","Ideal",0.0227807486977835,0.000518962511231566,1.37531323529459,92,100,0.9,1,1000,-0.25,0.5
"3.3","Naive",-39.358983717594,1549.12959928183,0.833813973883082,0,100,0.9,1,1000,-0.25,0.5
"3.4","Reg. cal.",0.727337959380149,0.52902050715528,1.38500089694148,68.4,100,0.9,1,1000,-0.25,0.5
