,method,bias,rmse,estimate,ci_cov,power,n,sig_u,ba,aw,bw,mis
1.1,CV,0.206353303,0.206353303,-0.498968233,90.12875536,100,1000,0.1,-0.5,0.5,0.5,base
1.2,IV,0.211181791,0.211181791,-0.498944091,94.6,91,1000,0.1,-0.5,0.5,0.5,base
1.3,Ideal,0.114144099,0.114144099,-0.49942928,93.6,100,1000,0.1,-0.5,0.5,0.5,base
1.4,MIME,2.555902964,2.555902964,-0.487220485,96,100,1000,0.1,-0.5,0.5,0.5,base
1.5,Naive,1.03728525,1.03728525,-0.494813574,93.2,100,1000,0.1,-0.5,0.5,0.5,base
1.6,RC,0.07101827,0.07101827,-0.499644909,95.4,100,1000,0.1,-0.5,0.5,0.5,base
1.7,SIMEX,0.123441561,0.123441561,-0.499382792,92.6,100,1000,0.1,-0.5,0.5,0.5,base
2.1,CV,-0.372134469,0.372134469,-0.501860672,90.10526316,100,1000,0.25,-0.5,0.5,0.5,base
2.2,IV,0.121322527,0.121322527,-0.499393387,95.4,93.2,1000,0.25,-0.5,0.5,0.5,base
2.3,Ideal,-0.247200566,0.247200566,-0.501236003,92.4,100,1000,0.25,-0.5,0.5,0.5,base
2.4,MIME,-0.079351023,0.079351023,-0.500396755,94,100,1000,0.25,-0.5,0.5,0.5,base
2.5,Naive,5.061243639,5.061243639,-0.474693782,85.4,100,1000,0.25,-0.5,0.5,0.5,base
2.6,RC,-0.722950222,0.722950222,-0.503614751,94.2,100,1000,0.25,-0.5,0.5,0.5,base
2.7,SIMEX,-0.015035532,0.015035532,-0.500075178,92.8,100,1000,0.25,-0.5,0.5,0.5,base
3.1,CV,1.043723809,1.043723809,-0.494781381,89.47368421,100,1000,0.5,-0.5,0.5,0.5,base
3.2,IV,0.344923782,0.344923782,-0.498275381,96.4,91.8,1000,0.5,-0.5,0.5,0.5,base
3.3,Ideal,0.382512464,0.382512464,-0.498087438,92.4,100,1000,0.5,-0.5,0.5,0.5,base
3.4,MIME,1.982480816,1.982480816,-0.490087596,95,100,1000,0.5,-0.5,0.5,0.5,base
3.5,Naive,19.68476608,19.68476608,-0.40157617,15,100,1000,0.5,-0.5,0.5,0.5,base
3.6,RC,0.660770762,0.660770762,-0.496696146,95.2,100,1000,0.5,-0.5,0.5,0.5,base
3.7,SIMEX,6.397653223,6.397653223,-0.468011734,81.4,100,1000,0.5,-0.5,0.5,0.5,base
4.1,CV,0.593860266,0.593860266,-0.497030699,89.37875752,100,1000,0.75,-0.5,0.5,0.5,base
4.2,IV,0.90153412,0.90153412,-0.495492329,95.8,90.8,1000,0.75,-0.5,0.5,0.5,base
4.3,Ideal,0.388356766,0.388356766,-0.498058216,91.2,100,1000,0.75,-0.5,0.5,0.5,base
4.4,MIME,2.132612392,2.132612392,-0.489336938,96.6,100,1000,0.75,-0.5,0.5,0.5,base
4.5,Naive,34.9861438,34.9861438,-0.325069281,0,100,1000,0.75,-0.5,0.5,0.5,base
4.6,RC,-0.030507253,0.030507253,-0.500152536,96.4,100,1000,0.75,-0.5,0.5,0.5,base
4.7,SIMEX,17.22564628,17.22564628,-0.413871769,32.2,100,1000,0.75,-0.5,0.5,0.5,base
5.1,CV,-0.168842393,0.168842393,-0.500844212,89.8,100,1000,0.9,-0.5,0.5,0.5,base
5.2,IV,-1.757049079,1.757049079,-0.508785245,97.8,93.2,1000,0.9,-0.5,0.5,0.5,base
5.3,Ideal,0.380093229,0.380093229,-0.498099534,93.2,100,1000,0.9,-0.5,0.5,0.5,base
5.4,MIME,1.761972643,1.761972643,-0.491190137,94.6,100,1000,0.9,-0.5,0.5,0.5,base
5.5,Naive,43.69940437,43.69940437,-0.281502978,0,100,1000,0.9,-0.5,0.5,0.5,base
5.6,RC,0.134588156,0.134588156,-0.499327059,96.2,100,1000,0.9,-0.5,0.5,0.5,base
5.7,SIMEX,25.70280655,25.70280655,-0.371485967,5.8,100,1000,0.9,-0.5,0.5,0.5,base
6.1,CV,-0.487571849,0.487571849,0.995124282,91.4893617,100,1000,0.1,1,0.5,0.5,base
6.2,IV,0.575680261,0.575680261,1.005756803,95.8,100,1000,0.1,1,0.5,0.5,base
6.3,Ideal,0.045572516,0.045572516,1.000455725,92.8,100,1000,0.1,1,0.5,0.5,base
6.4,MIME,-1.330099981,1.330099981,0.986699,95.4,100,1000,0.1,1,0.5,0.5,base
6.5,Naive,-0.901762641,0.901762641,0.990982374,90.6,100,1000,0.1,1,0.5,0.5,base
6.6,RC,0.053909638,0.053909638,1.000539096,93.6,100,1000,0.1,1,0.5,0.5,base
6.7,SIMEX,0.01100272,0.01100272,1.000110027,92.6,100,1000,0.1,1,0.5,0.5,base
7.1,CV,-0.172371687,0.172371687,0.998276283,87.52642706,100,1000,0.25,1,0.5,0.5,base
7.2,IV,0.213294046,0.213294046,1.00213294,95.6,100,1000,0.25,1,0.5,0.5,base
7.3,Ideal,0.090007767,0.090007767,1.000900078,91,100,1000,0.25,1,0.5,0.5,base
7.4,MIME,-0.286594838,0.286594838,0.997134052,92.6,100,1000,0.25,1,0.5,0.5,base
7.5,Naive,-5.399004177,5.399004177,0.946009958,64.8,100,1000,0.25,1,0.5,0.5,base
7.6,RC,0.251882588,0.251882588,1.002518826,95.2,100,1000,0.25,1,0.5,0.5,base
7.7,SIMEX,-0.413749228,0.413749228,0.995862508,90.2,100,1000,0.25,1,0.5,0.5,base
8.1,CV,-0.083007885,0.083007885,0.999169921,90.08097166,100,1000,0.5,1,0.5,0.5,base
8.2,IV,0.101419339,0.101419339,1.001014193,98,100,1000,0.5,1,0.5,0.5,base
8.3,Ideal,0.077505502,0.077505502,1.000775055,94.2,100,1000,0.5,1,0.5,0.5,base
8.4,MIME,-0.804950019,0.804950019,0.9919505,95.6,100,1000,0.5,1,0.5,0.5,base
8.5,Naive,-18.97972005,18.97972005,0.810202799,0,100,1000,0.5,1,0.5,0.5,base
8.6,RC,0.386208581,0.386208581,1.003862086,98.8,100,1000,0.5,1,0.5,0.5,base
8.7,SIMEX,-5.333436366,5.333436366,0.946665636,68.6,100,1000,0.5,1,0.5,0.5,base
9.1,CV,-0.23642368,0.23642368,0.997635763,88.95582329,100,1000,0.75,1,0.5,0.5,base
9.2,IV,0.46970884,0.46970884,1.004697088,96.6,100,1000,0.75,1,0.5,0.5,base
9.3,Ideal,-0.008188412,0.008188412,0.999918116,92.4,100,1000,0.75,1,0.5,0.5,base
9.4,MIME,-1.271624947,1.271624947,0.987283751,96.4,100,1000,0.75,1,0.5,0.5,base
9.5,Naive,-34.44453224,34.44453224,0.655554678,0,100,1000,0.75,1,0.5,0.5,base
