"","method","bias","mse","ATE","ci_cov","power","u","a","n","b","rho","psi","ax"
"1.1","Ideal",-0.32046340072443,0.102696791203867,0.996795365992756,100,100,0.1,1,5000,0,0.2,0.5,0.25
"1.2","Naive",-0.107328121903739,0.0115193257513838,0.998926718780963,100,100,0.1,1,5000,0,0.2,0.5,0.25
"1.3","SIMEX dir.",-2.68986520329272,7.235374811885,0.973101347967073,100,100,0.1,1,5000,0,0.2,0.5,0.25
"2.1","Ideal",-0.151516101123583,0.0229571288996918,0.998484838988764,100,100,0.5,1,5000,0,0.2,0.5,0.25
"2.2","Naive",5.0649487768388,25.6537061120008,1.05064948776839,92,100,0.5,1,5000,0,0.2,0.5,0.25
"2.3","SIMEX dir.",-2.29987484212887,5.2894242894573,0.977001251578711,100,100,0.5,1,5000,0,0.2,0.5,0.25
"3.1","Ideal",-0.0751471281180645,0.00564709086439279,0.999248528718819,98,100,0.9,1,5000,0,0.2,0.5,0.25
"3.2","Naive",10.9593706778292,120.107805654063,1.10959370677829,38,100,0.9,1,5000,0,0.2,0.5,0.25
"3.3","SIMEX dir.",5.14902471044336,26.5124554687564,1.05149024710443,90,100,0.9,1,5000,0,0.2,0.5,0.25
"4.1","Ideal",0.180472841924192,0.0325704466721944,1.00180472841924,100,100,0.1,1,5000,0,0.8,0.5,0.25
"4.2","Naive",0.377101465778811,0.142205515492528,1.00377101465779,100,100,0.1,1,5000,0,0.8,0.5,0.25
"4.3","SIMEX dir.",-1.97838301725081,3.9139993629464,0.980216169827492,100,100,0.1,1,5000,0,0.8,0.5,0.25
"5.1","Ideal",-0.313188646034609,0.0980871280049914,0.996868113539654,100,100,0.5,1,5000,0,0.8,0.5,0.25
"5.2","Naive",3.46836417129649,12.0295500247332,1.03468364171297,100,100,0.5,1,5000,0,0.8,0.5,0.25
"5.3","SIMEX dir.",0.0603212257956587,0.00363865028149084,1.00060321225796,100,100,0.5,1,5000,0,0.8,0.5,0.25
"6.1","Ideal",0.367110377162021,0.134770029020041,1.00367110377162,100,100,0.9,1,5000,0,0.8,0.5,0.25
"6.2","Naive",6.53883184872937,42.7563219459576,1.06538831848729,98,100,0.9,1,5000,0,0.8,0.5,0.25
"6.3","SIMEX dir.",4.85996726590725,23.61928182569,1.04859967265907,100,100,0.9,1,5000,0,0.8,0.5,0.25
