"","method","bias","mse","ATE","ci_cov","power","u","a","n","b","rho","psi","ax","bax","baz"
"1.1","Ideal",-0.170700733604888,0.0291387404532469,0.998292992663951,92,100,0.1,1,5000,0,0.2,0.5,0.25,0.5,-0.25
"1.2","MIME",-1.52567311639718,2.32767845809707,0.984743268836028,93,100,0.1,1,5000,0,0.2,0.5,0.25,0.5,-0.25
"1.3","Naive",0.165788272827207,0.0274857514070284,1.00165788272827,93,100,0.1,1,5000,0,0.2,0.5,0.25,0.5,-0.25
"1.4","PSC-IPTW",1.00321630437604,1.00644295336592,1.01003216304376,88,100,0.1,1,5000,0,0.2,0.5,0.25,0.5,-0.25
"2.1","Ideal",-0.0926015764207259,0.00857505195560353,0.999073984235793,93,100,0.5,1,5000,0,0.2,0.5,0.25,0.5,-0.25
"2.2","MIME",-0.951342308331161,0.905052187620862,0.990486576916688,95,100,0.5,1,5000,0,0.2,0.5,0.25,0.5,-0.25
"2.3","Naive",6.18056131211153,38.1993381327698,1.06180561312112,65,100,0.5,1,5000,0,0.2,0.5,0.25,0.5,-0.25
"2.4","PSC-IPTW",7.57400174535064,57.3655024385746,1.07574001745351,56,100,0.5,1,5000,0,0.2,0.5,0.25,0.5,-0.25
"3.1","Ideal",-0.150169394372023,0.0225508470060603,0.99849830605628,93,100,0.9,1,5000,0,0.2,0.5,0.25,0.5,-0.25
"3.2","MIME",-0.711265945977194,0.505899245906833,0.992887340540228,90,100,0.9,1,5000,0,0.2,0.5,0.25,0.5,-0.25
"3.3","Naive",13.2924450991014,176.689096712624,1.13292445099101,12,100,0.9,1,5000,0,0.2,0.5,0.25,0.5,-0.25
"3.4","PSC-IPTW",16.2024011395347,262.517802686394,1.16202401139535,7,100,0.9,1,5000,0,0.2,0.5,0.25,0.5,-0.25
"4.1","Ideal",-0.321227432443142,0.103187063354013,0.996787725675569,97,100,0.1,1,5000,0,0.8,0.5,0.25,0.5,-0.25
"4.2","MIME",-1.00587576315981,1.01178605091233,0.989941242368402,99,100,0.1,1,5000,0,0.8,0.5,0.25,0.5,-0.25
"4.3","Naive",-0.11358368606824,0.0129012537408486,0.998864163139318,98,100,0.1,1,5000,0,0.8,0.5,0.25,0.5,-0.25
"4.4","PSC-IPTW",1.69668934242767,2.87875472470765,1.01696689342428,97,100,0.1,1,5000,0,0.8,0.5,0.25,0.5,-0.25
"5.1","Ideal",0.844622006935297,0.713386334599409,1.00844622006935,96,100,0.5,1,5000,0,0.8,0.5,0.25,0.5,-0.25
"5.2","MIME",0.410353227246855,0.168389771111909,1.00410353227247,100,100,0.5,1,5000,0,0.8,0.5,0.25,0.5,-0.25
"5.3","Naive",5.73254661135524,32.8620906513604,1.05732546611355,73,100,0.5,1,5000,0,0.8,0.5,0.25,0.5,-0.25
"5.4","PSC-IPTW",9.32214387227321,86.9023663753609,1.09322143872273,45,100,0.5,1,5000,0,0.8,0.5,0.25,0.5,-0.25
"6.1","Ideal",-0.293529150665717,0.0861593622905374,0.997064708493343,97,100,0.9,1,5000,0,0.8,0.5,0.25,0.5,-0.25
"6.2","MIME",-1.2660859346028,1.60297359379904,0.987339140653972,99,100,0.9,1,5000,0,0.8,0.5,0.25,0.5,-0.25
"6.3","Naive",8.02866160926376,64.4594072360657,1.08028661609264,62,100,0.9,1,5000,0,0.8,0.5,0.25,0.5,-0.25
"6.4","PSC-IPTW",13.3169389196218,177.340862188938,1.13316938919622,23,100,0.9,1,5000,0,0.8,0.5,0.25,0.5,-0.25
