"","method","bias","mse","ATE","ci_cov","power","u","a","n","bax1","bax2"
"1.1","CSME",0.0285909381070033,0.000817441741838494,1.37539312539897,92.8,100,0.1,1,1500,-0.25,0.5
"1.2","Ideal",0.0622102736387585,0.0038701181462092,1.37585539126253,92,100,0.1,1,1500,-0.25,0.5
"1.3","Naive",-0.722397941852686,0.521858786392997,1.36506702829953,90,100,0.1,1,1500,-0.25,0.5
"1.4","Reg. cal.",0.119694852282106,0.0143268576628351,1.37664580421888,90.4,100,0.1,1,1500,-0.25,0.5
"2.1","CSME",0.0737677576895253,0.00544168207454052,1.37601430666823,92.8,100,0.2,1,1500,-0.25,0.5
"2.2","Ideal",0.0789659336884597,0.00623561868329021,1.37608578158822,89.2,100,0.2,1,1500,-0.25,0.5
"2.3","Naive",-3.01720771784366,9.10354241261537,1.33351339387965,64.4,100,0.2,1,1500,-0.25,0.5
"2.4","Reg. cal.",0.0478501531229023,0.0022896371538852,1.37565793960544,84.4,100,0.2,1,1500,-0.25,0.5
"3.1","CSME",-0.125218285015687,0.0156796189022699,1.37327824858103,91.2,100,0.3,1,1500,-0.25,0.5
"3.2","Ideal",-0.334459532992571,0.111863179209609,1.37040118142135,92.8,100,0.3,1,1500,-0.25,0.5
"3.3","Naive",-7.04049391221083,49.5685545278778,1.2781932087071,10.4,100,0.3,1,1500,-0.25,0.5
"3.4","Reg. cal.",-0.0409082611040356,0.00167348582655595,1.37443751140982,84.8,100,0.3,1,1500,-0.25,0.5
"4.1","CSME",0.0484000716186898,0.0023425669326943,1.37566550098476,88.8,100,0.4,1,1500,-0.25,0.5
"4.2","Ideal",-0.226128183514033,0.0511339553793562,1.37189073747668,92.8,100,0.4,1,1500,-0.25,0.5
"4.3","Naive",-11.3852262721445,129.62337726793,1.21845313875801,0.4,100,0.4,1,1500,-0.25,0.5
"4.4","Reg. cal.",0.0646210928762943,0.00417588564452666,1.37588854002705,80.4,100,0.4,1,1500,-0.25,0.5
"5.1","CSME",0.0301772662667989,0.00091066739933728,1.37541493741117,88,100,0.5,1,1500,-0.25,0.5
"5.2","Ideal",-0.072193837579829,0.00521195018450273,1.37400733473328,94.4,100,0.5,1,1500,-0.25,0.5
"5.3","Naive",-16.7926615935006,281.993483393832,1.14410090308937,0,100,0.5,1,1500,-0.25,0.5
"5.4","Reg. cal.",0.536282848194835,0.287599293267964,1.38237388916268,75.6,100,0.5,1,1500,-0.25,0.5
"6.1","CSME",0.188946325698591,0.035700713994998,1.37759801197836,86.4,100,0.6,1,1500,-0.25,0.5
"6.2","Ideal",-0.12148729009402,0.0147591616543885,1.37332954976121,96,100,0.6,1,1500,-0.25,0.5
"6.3","Naive",-22.2462146676243,494.894067038023,1.06911454832017,0,100,0.6,1,1500,-0.25,0.5
"6.4","Reg. cal.",0.38098694667342,0.145151053535535,1.38023857051676,69.6,100,0.6,1,1500,-0.25,0.5
"7.1","CSME",0.440733607154614,0.194246112475517,1.38106008709838,81.2,100,0.7,1,1500,-0.25,0.5
"7.2","Ideal",0.11325715495081,0.0128271831475517,1.37655728588057,93.6,100,0.7,1,1500,-0.25,0.5
"7.3","Naive",-27.9822831122639,783.008168174887,0.990243607206372,0,100,0.7,1,1500,-0.25,0.5
"7.4","Reg. cal.",0.866672136247123,0.751120591747151,1.3869167418734,68.8,100,0.7,1,1500,-0.25,0.5
"8.1","CSME",0.325435519570487,0.105908277398113,1.37947473839409,78.4,100,0.8,1,1500,-0.25,0.5
"8.2","Ideal",0.168637118303364,0.0284384776696626,1.37731876037667,93.2,100,0.8,1,1500,-0.25,0.5
"8.3","Naive",-33.8352513530598,1144.82423412473,0.909765293895428,0,100,0.8,1,1500,-0.25,0.5
"8.4","Reg. cal.",0.748622734309364,0.560435998324829,1.38529356259675,70.8,100,0.8,1,1500,-0.25,0.5
"9.1","CSME",1.05680281577924,1.11683219143893,1.38953103871696,76,100,0.9,1,1500,-0.25,0.5
"9.2","Ideal",-0.028213993727238,0.000796029442040625,1.37461205758625,93.2,100,0.9,1,1500,-0.25,0.5
"9.3","Naive",-39.4081147359201,1552.99950703944,0.833138422381098,0,100,0.9,1,1500,-0.25,0.5
"9.4","Reg. cal.",1.9675986468308,3.87144443501041,1.40205448139392,62.4,100,0.9,1,1500,-0.25,0.5
